,period_high,period_low,return,pnl,drawdown (%),drawdown (abs)
0,4,4,232.98000000000002,46596.0,73.87448137637791,19719.499999999975
1,4,6,198.98499999999993,39797.0,73.53343145500426,20983.500000000022
2,4,8,116.81874999999991,23363.75,84.55360060540403,24581.00000000008
3,4,10,169.06374999999989,33812.75,47.40169532413308,14245.750000000007
4,4,12,87.155,17431.0,69.84286452795959,17901.250000000015
5,4,14,100.31875000000005,20063.75,85.04608199702436,20577.749999999996
6,4,16,164.78000000000003,32956.0,62.16118745729264,16374.500000000005
7,4,18,165.54375,33108.75,48.218380391250335,19293.500000000007
8,6,4,169.9937500000001,33998.75,71.26598262294814,21305.50000000002
9,6,6,148.19375000000002,29638.75,43.38686476306957,15608.749999999985
10,6,8,51.191249999999975,10238.25,71.72152744275805,24158.500000000015
11,6,10,103.42374999999997,20684.75,50.47338150715228,21391.24999999997
12,6,12,37.28875,7457.75,66.0555812200638,20376.000000000007
13,6,14,6.623750000000007,1324.75,85.05162385969138,28296.249999999993
14,6,16,105.69500000000002,21139.0,58.95169660678644,18459.250000000022
15,6,18,75.93250000000002,15186.5,59.192405298341285,19126.250000000025
16,8,4,176.47999999999996,35296.0,61.4098750743605,18065.250000000007
17,8,6,138.50749999999996,27701.5,63.7040113228975,18791.249999999993
18,8,8,159.62374999999994,31924.75,49.05223860977468,18658.000000000007
19,8,10,146.76874999999993,29353.75,41.082714115935275,18493.99999999999
20,8,12,90.83374999999998,18166.75,62.746540480356316,23669.249999999956
21,8,14,37.99124999999998,7598.25,81.85270281252082,27698.749999999964
22,8,16,80.72874999999998,16145.75,56.03746048974387,19102.75000000002
23,8,18,73.5375,14707.5,67.52704470867505,23611.00000000001
24,10,4,185.80250000000007,37160.5,60.32946948990683,18320.249999999996
25,10,6,106.80875000000003,21361.75,63.423305014291486,20025.749999999978
26,10,8,135.1,27020.0,49.27232241714442,20025.75000000002
27,10,10,123.83124999999997,24766.25,42.35003938388655,18414.750000000004
28,10,12,81.69875000000002,16339.75,62.9751241167354,23973.999999999964
29,10,14,72.11500000000002,14423.0,78.00302833657798,22537.99999999999
30,10,16,70.84,14168.0,67.1995086431925,20787.999999999956
31,10,18,94.81750000000004,18963.5,64.93171717740856,23048.0
32,12,4,172.96499999999997,34593.0,58.31733533861192,16479.74999999999
33,12,6,187.46375,37492.75,45.72791524605277,15624.999999999978
34,12,8,186.19999999999993,37240.0,42.0365462016352,14987.500000000004
35,12,10,169.11249999999984,33822.5,37.91071355045912,18414.749999999953
36,12,12,103.60624999999995,20721.25,56.57684807658221,22340.49999999997
37,12,14,72.23874999999994,14447.75,74.63875849857179,22340.49999999998
38,12,16,123.08624999999991,24617.25,63.554354252892985,18810.49999999995
39,12,18,146.7999999999999,29360.0,52.985900937476934,17944.99999999996
40,14,4,228.91750000000008,45783.5,63.041369423197416,18358.74999999999
41,14,6,201.76625,40353.25,50.1097599219485,14381.000000000002
42,14,8,189.79624999999993,37959.25,60.66136906246663,21279.250000000036
43,14,10,188.64499999999987,37729.0,39.40683742558973,13008.000000000022
44,14,12,158.3424999999999,31668.5,51.19425723655343,14869.500000000024
45,14,14,174.70124999999993,34940.25,65.15796426081545,17757.500000000036
46,14,16,198.5287499999999,39705.75,70.93463983790964,20305.74999999995
47,14,18,218.2762499999999,43655.25,56.991146550965986,19440.24999999998
48,16,4,105.97375000000002,21194.75,88.56860484269468,20163.749999999964
49,16,6,189.3775,37875.5,59.11108459611025,12385.250000000002
50,16,8,231.65,46330.0,52.025845316750875,16063.50000000001
51,16,10,-82.99125000000006,-16598.25,99.2356315651867,32261.99999999993
52,16,12,-84.54625000000007,-16909.25,96.57078209907465,26034.999999999975
53,16,14,-85.15000000000009,-17030.0,86.07967043954736,21522.500000000015
54,16,16,189.8499999999999,37970.0,95.36116456417942,26760.249999999985
55,16,18,-88.25500000000005,-17651.0,99.83239959712958,31718.750000000025
56,18,4,238.94375000000005,47788.75,62.698663494246865,16864.999999999975
57,18,6,293.83375000000007,58766.75,40.0210407217365,10081.000000000011
58,18,8,242.48250000000007,48496.5,52.33626074587177,16924.5
59,18,10,-89.81500000000004,-17963.0,99.27341021304805,29204.50000000001
60,18,12,-89.50375000000004,-17900.75,98.02652863151093,24240.00000000001
61,18,14,-89.95625000000005,-17991.25,96.45181890495992,21522.49999999999
62,18,16,-87.81250000000004,-17562.5,94.248056701202,21309.25
63,18,18,-90.74875000000003,-18149.75,98.46502790406183,24745.000000000007
