,period_sma5,period_sma25,period_fast,period_slow,period_aosma9,period_aosma12,return,pnl,drawdown (%),drawdown (abs)
270,6,14,6,8,6,6,100.65249999999999,20130.5,72.50810341351452,23376.249999999993
271,6,14,6,8,6,9,115.18624999999993,23037.25,70.3575853443775,22572.99999999997
272,6,14,6,8,6,12,143.3337499999999,28666.75,64.89217032967035,23620.749999999996
273,6,14,6,8,9,6,130.00500000000002,26001.0,66.76042356055592,22192.499999999978
274,6,14,6,8,9,9,144.53874999999996,28907.75,64.64792244395245,21389.249999999996
275,6,14,6,8,9,12,182.56124999999992,36512.25,59.98796871866862,22437.000000000007
276,6,14,6,8,12,6,92.74375000000006,18548.75,86.5956653536287,26709.99999999997
277,6,14,6,8,12,9,107.2775,21455.5,84.4191180663609,25906.749999999978
278,6,14,6,8,12,12,145.29999999999998,29060.0,77.00185687758896,26954.49999999999
279,6,14,6,11,6,6,97.24124999999992,19448.25,87.39347234814144,24098.750000000015
280,6,14,6,11,6,9,105.71374999999992,21142.75,74.04567760026568,25085.74999999999
281,6,14,6,11,6,12,139.57874999999993,27915.75,74.93611645467861,26099.499999999985
282,6,14,6,11,9,6,113.38374999999992,22676.75,89.72852818766557,23715.249999999985
283,6,14,6,11,9,9,120.35124999999991,24070.25,78.35414518654298,25648.24999999998
284,6,14,6,11,9,12,166.4662499999999,33293.25,79.15330720817012,26662.000000000007
285,6,14,6,11,12,6,-71.3675,-14273.5,98.17699277020229,26819.5
286,6,14,6,11,12,9,132.68749999999991,26537.5,86.82380934676735,29191.25
287,6,14,6,11,12,12,178.80249999999992,35760.5,87.3696541949294,30204.999999999938
288,6,14,6,14,6,6,126.91249999999998,25382.5,88.06555941111073,26140.499999999978
289,6,14,6,14,6,9,158.92624999999992,31785.25,73.17538677349307,27125.750000000007
290,6,14,6,14,6,12,-76.36750000000008,-15273.5,98.7844539608259,33563.499999999985
291,6,14,6,14,9,6,155.79499999999996,31159.0,84.35359698169643,24817.250000000015
292,6,14,6,14,9,9,187.80874999999992,37561.75,70.1021544814845,25802.499999999978
293,6,14,6,14,9,12,-74.33875000000005,-14867.75,97.4824998516937,32865.24999999996
294,6,14,6,14,12,6,164.18875,32837.75,76.06175406614068,20027.249999999993
295,6,14,6,14,12,9,193.20249999999993,38640.5,62.63777295293945,22647.00000000006
296,6,14,6,14,12,12,-72.70250000000006,-14540.5,95.95306727294877,29542.749999999978
297,6,14,6,17,6,6,82.43249999999996,16486.5,94.54567950454017,34386.49999999999
298,6,14,6,17,6,9,138.77749999999992,27755.5,77.00972958129732,30848.750000000044
299,6,14,6,17,6,12,-65.81875000000008,-13163.75,94.53319762210332,32042.500000000022
300,6,14,6,17,9,6,117.10749999999996,23421.5,91.92381549555199,29320.25000000002
301,6,14,6,17,9,9,173.70249999999996,34740.5,73.12465865647194,26778.24999999998
302,6,14,6,17,9,12,101.24249999999992,20248.5,97.10160936729949,28568.75000000002
303,6,14,6,17,12,6,-71.66500000000002,-14333.0,94.82638244469784,26824.250000000004
304,6,14,6,17,12,9,151.89,30378.0,78.3538384374816,26557.250000000015
305,6,14,6,17,12,12,-70.02000000000007,-14004.0,97.30530569050948,25286.00000000001
306,6,14,6,20,6,6,145.98374999999996,29196.75,74.04067366179014,27114.24999999996
307,6,14,6,20,6,9,139.99624999999995,27999.25,79.2948717948719,28450.999999999985
308,6,14,6,20,6,12,100.12374999999993,20024.75,92.7782671178899,25016.499999999985
309,6,14,6,20,9,6,120.04624999999996,24009.25,83.95190761042797,28314.250000000007
310,6,14,6,20,9,9,113.80874999999999,22761.75,90.07154550415333,29710.999999999953
311,6,14,6,20,9,12,-73.52500000000009,-14705.0,95.34287882221945,24188.249999999996
312,6,14,6,20,12,6,99.61749999999996,19923.5,89.15491919431867,27210.750000000044
313,6,14,6,20,12,9,93.37999999999994,18676.0,92.80316749530807,28185.250000000015
314,6,14,6,20,12,12,-91.77750000000006,-18355.5,99.67634630944895,22174.000000000004
315,6,14,9,11,6,6,-78.08875000000005,-15617.75,99.31376113433926,27316.24999999999
316,6,14,9,11,6,9,-74.92750000000011,-14985.5,97.22187398139565,29081.250000000036
317,6,14,9,11,6,12,86.34874999999992,17269.75,95.92721720721222,30471.999999999978
318,6,14,9,11,9,6,-73.03000000000003,-14606.0,95.9577033368092,29447.500000000015
319,6,14,9,11,9,9,116.30124999999994,23260.25,93.58593755901532,30972.50000000002
320,6,14,9,11,9,12,113.00499999999995,22601.0,93.88962409242109,32813.24999999998
