,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
59,3,18,13,463.90374999999995,92780.75,41.003592381352306,35155.24999999999
60,3,18,15,483.9662500000001,96793.25,40.27085695957481,35155.250000000095
61,3,18,17,585.1562500000002,117031.25,29.424359943013105,26384.749999999978
62,3,18,19,644.6350000000001,128927.0,27.446742329380054,25809.750000000044
63,3,20,3,292.4262500000001,58485.25,43.443733493267175,30060.999999999956
64,3,20,5,293.2750000000001,58655.0,42.3235950165932,31117.999999999956
65,3,20,7,349.58875000000006,69917.75,44.195079844626726,34559.99999999995
66,3,20,9,418.19750000000005,83639.5,43.01726620886199,35471.499999999985
67,3,20,11,470.73125000000005,94146.25,39.772231909328724,34670.24999999998
68,3,20,13,488.34125000000006,97668.25,39.740510049512736,35155.25
69,3,20,15,554.7562500000001,110951.25,29.589350648622403,26384.749999999985
70,3,20,17,645.1350000000001,129027.0,27.41758577373637,25809.75000000006
71,3,20,19,599.2200000000001,119844.0,26.808988005432482,25809.75000000003
72,3,22,3,304.0512500000001,60810.25,43.396696272931024,30061.00000000006
73,3,22,5,324.4500000000001,64890.0,40.3675750862913,31343.000000000065
74,3,22,7,359.0925000000001,71818.5,43.72096259492009,34559.99999999996
75,3,22,9,397.07250000000005,79414.5,43.69283495769507,35696.499999999905
76,3,22,11,474.02875000000006,94805.75,40.140612698559714,34670.25000000003
77,3,22,13,494.48500000000007,98897.0,38.37964787897663,34807.74999999995
78,3,22,15,637.9112500000001,127582.25,27.519905742610117,25809.750000000015
79,3,22,17,596.9487500000001,119389.75,27.049496026640995,25809.750000000015
80,3,22,19,607.9062500000002,121581.25,26.64981891680499,25809.750000000087
81,3,24,3,314.38750000000016,62877.5,42.02065690231971,29485.999999999985
82,3,24,5,296.3912500000001,59278.25,40.01659751037338,31342.999999999964
83,3,24,7,373.02125000000007,74604.25,42.333924639099536,34603.75000000001
84,3,24,9,439.00500000000005,87801.0,39.53402654395816,34322.75000000009
85,3,24,11,484.1725000000001,96834.5,39.36715553632884,34807.7500000002
86,3,24,13,624.3487500000001,124869.75,28.266613367357195,25809.750000000065
87,3,24,15,587.2650000000001,117453.0,27.22066512509652,25809.749999999985
88,3,24,17,607.9062500000002,121581.25,26.64981891680499,25809.750000000087
89,3,24,19,603.7237500000001,120744.75,26.39134936155528,25809.75000000006
90,3,26,3,338.73375000000016,67746.75,37.1664573103422,26851.000000000044
91,3,26,5,314.3612500000001,62872.25,40.70863124809244,31343.00000000003
92,3,26,7,375.0387500000001,75007.75,42.76174922881514,35349.00000000004
93,3,26,9,452.8025000000001,90560.5,39.477187705773545,34322.75000000003
94,3,26,11,489.5525000000001,97910.5,37.823422009960574,34232.75000000009
95,3,26,13,641.1975000000001,128239.5,27.406668029403146,25809.749999999927
96,3,26,15,596.9700000000001,119394.0,26.940510580333015,25809.75000000003
97,3,26,17,612.0312500000001,122406.25,26.422014122247727,25809.749999999913
98,3,26,19,620.74125,124148.25,27.04630716351592,25809.74999999997
99,3,28,3,347.85875000000016,69571.75,38.17302326903874,26851.00000000008
100,3,28,5,321.82875000000007,64365.75,40.974125952908416,32732.999999999898
101,3,28,7,419.26875,83853.75,42.339202299676586,35349.00000000002
102,3,28,9,445.17750000000007,89035.5,39.67110985254558,34322.75000000001
103,3,28,11,579.0150000000001,115803.0,32.606930192816854,30815.750000000044
104,3,28,13,581.8387500000002,116367.75,27.292698788683033,25809.749999999985
105,3,28,15,604.3450000000001,120869.0,26.49660832941942,25809.75000000006
106,3,28,17,599.1562500000001,119831.25,26.39499298189089,25809.74999999987
107,3,28,19,663.2275,132645.5,21.55268115987997,8493.750000000004
108,6,6,3,569.235,113847.0,31.71920823396821,12735.5
109,6,6,5,569.235,113847.0,31.71920823396821,12735.5
110,6,6,7,569.235,113847.0,31.71920823396821,12735.5
111,6,6,9,569.235,113847.0,31.71920823396821,12735.5
112,6,6,11,569.235,113847.0,31.71920823396821,12735.5
113,6,6,13,569.235,113847.0,31.71920823396821,12735.5
114,6,6,15,569.235,113847.0,31.71920823396821,12735.5
115,6,6,17,569.235,113847.0,31.71920823396821,12735.5
116,6,6,19,569.235,113847.0,31.71920823396821,12735.5
117,6,8,3,195.85625000000016,39171.25,46.55703760774307,29005.500000000007
118,6,8,5,279.7312500000001,55946.25,37.00378500080155,26542.999999999993
119,6,8,7,273.54000000000013,54708.0,43.919531473521324,31852.750000000116
120,6,8,9,362.3137500000001,72462.75,41.35789221586694,33242.7500000001
121,6,8,11,404.24125000000004,80848.25,45.25377492362054,35956.500000000015
122,6,8,13,435.72625,87145.25,43.86583993387762,35956.500000000044
123,6,8,15,445.08875,89017.75,43.33439791743244,35956.50000000006
124,6,8,17,436.90125,87380.25,42.43931802489257,35956.50000000014
125,6,8,19,478.68874999999997,95737.75,32.85186832219627,28072.250000000044
126,6,10,3,241.74875000000014,48349.75,38.70078929192719,26195.500000000044
127,6,10,5,270.47625000000005,54095.25,40.8412630516034,29121.250000000036
128,6,10,7,371.2125000000001,74242.5,41.37990054210157,33242.75000000005
129,6,10,9,428.72375,85744.75,44.935514509235475,35956.500000000065
130,6,10,11,443.19750000000005,88639.5,43.162863839479975,35956.50000000006
131,6,10,13,442.40125,88480.25,43.27702519723896,35956.500000000065
132,6,10,15,456.31374999999997,91262.75,34.53940892760466,28072.24999999992
133,6,10,17,495.5425000000002,99108.5,32.996673562461744,28072.249999999927
134,6,10,19,504.4262500000001,100885.25,32.50651916692511,28297.25
135,6,12,3,290.14125000000007,58028.25,36.36900051369631,26195.50000000005
136,6,12,5,277.60250000000013,55520.5,43.0358240615015,31852.749999999993
137,6,12,7,373.49125000000004,74698.25,44.40156704875573,35956.500000000044
138,6,12,9,444.46750000000003,88893.5,43.20175899698725,35956.50000000003
139,6,12,11,426.90124999999995,85380.25,44.772411732111415,35956.5
