,period_sma5,period_sma25,period_he,return,pnl,drawdown (%),drawdown (abs)
0,6,6,6,1867.2062499999993,373441.25,51.81385740302819,47654.50000000021
1,6,6,8,2039.694999999999,407939.0,34.68564128514192,20906.25000000006
2,6,6,10,1848.323749999999,369664.75,51.12639169400446,32845.00000000013
3,6,6,12,269.558749999999,53911.75,54.38003737670377,75364.7499999997
4,6,6,14,3.219999999999348,644.0,77.93194170109558,48431.00000000003
5,6,6,16,114.53874999999927,22907.75,73.52657370442569,77722.00000000006
6,6,6,18,146.3474999999993,29269.5,61.694202359956876,71799.24999999974
7,6,6,20,1840.6874999999995,368137.5,40.373893604648075,37836.99999999996
8,6,6,22,1930.3012499999995,386060.25,35.878674171357105,8605.500000000004
9,6,6,24,1708.5399999999993,341708.0,68.9375315217419,70735.24999999994
10,6,6,26,166.62374999999932,33324.75,62.148221131156966,37531.000000000044
11,6,6,28,196.9237499999994,39384.75,56.46271415838646,17104.250000000007
12,6,6,30,1990.6112499999995,398122.25,47.19678637111606,36569.24999999995
13,6,6,32,1621.0787499999994,324215.75,72.12765570926418,39703.749999999956
14,6,6,34,1932.904999999999,386581.0,45.224346018363505,15663.000000000011
15,6,6,36,1986.3812499999995,397276.25,41.17347453223128,39813.0
16,6,6,38,1899.3574999999992,379871.5,47.17831618279419,31817.999999999905
17,6,8,6,4106.355624999997,821271.12,40.9442181911946,94479.4999999998
18,6,8,8,1982.6683333333322,396533.67,78.25377626508401,27820.0
19,6,8,10,1932.8531249999987,386570.62,87.68852668065527,26001.593750000007
20,6,8,12,330.5574999999985,66111.5,66.49282314442961,17881.25
21,6,8,14,191.33624999999859,38267.25,73.86681367524316,107192.74999999997
22,6,8,16,-91.6712500000009,-18334.25,99.88542239783487,68216.07500000049
23,6,8,18,150.21749999999875,30043.5,64.42713055456166,59868.750000000044
24,6,8,20,193.9381249999991,38787.62,89.18193269701227,82479.68749999988
25,6,8,22,1829.2974999999992,365859.5,82.58015223637285,86872.87500000013
26,6,8,24,-96.05250000000028,-19210.5,98.37429970437923,86063.1250000001
27,6,8,26,127.20937499999916,25441.87,77.55178034721624,51025.00000000001
28,6,8,28,-87.37375000000081,-17474.75,94.5582531469734,60583.00000000016
29,6,8,30,13.546249999999063,2709.25,97.64291691673095,57757.250000000095
30,6,8,32,-88.4712500000002,-17694.25,98.25493851503974,27406.250000000004
31,6,8,34,-111.51500000000034,-22303.0,99.63132209835977,25672.74999999998
32,6,8,36,-90.96250000000043,-18192.5,98.94562141720861,28035.475000000064
33,6,8,38,-97.77125000000055,-19554.25,85.18521173198793,29711.750000000036
34,6,10,6,1933.8239583333316,386764.79,95.65365289069574,79416.44531249996
35,6,10,8,-85.24625000000057,-17049.25,97.53449243803293,57331.74999999997
36,6,10,10,1759.7037499999988,351940.75,96.94387771861126,33202.18749999999
37,6,10,12,518.1437499999988,103628.75,89.48014912119437,57184.75000000017
38,6,10,14,142.85749999999905,28571.5,86.77991924121318,107939.24999999975
39,6,10,16,34.85124999999916,6970.25,97.27663588701648,67027.24999999988
40,6,10,18,120.13124999999896,24026.25,81.83523679170872,73392.50000000022
41,6,10,20,-83.8862500000007,-16777.25,99.63726076034565,85871.87500000007
42,6,10,22,205.92999999999918,41186.0,99.36397262238991,96977.25000000001
43,6,10,24,-86.85125000000062,-17370.25,92.16733179146534,71681.8749999999
44,6,10,26,240.7037499999991,48140.75,74.59845117945225,62734.4999999998
45,6,10,28,202.39624999999916,40479.25,72.9827727144762,53792.49999999994
46,6,10,30,143.97749999999905,28795.5,89.451288460394,37576.249999999956
47,6,10,32,102.4687499999992,20493.75,85.22653941514122,25093.25000000002
48,6,10,34,329.0699999999989,65814.0,96.77483314626022,35996.12500000005
49,6,10,36,203.22999999999882,40646.0,98.23240183453416,44577.250000000175
50,6,10,38,-110.5125000000005,-22102.5,99.47341143650573,38866.49999999992
51,6,12,6,2030.813124999998,406162.62,95.50913773463425,38568.500000000065
52,6,12,8,1976.793749999999,395358.75,96.61616134585722,67695.92500000013
53,6,12,10,2032.8249999999982,406565.0,92.31985154824639,30534.531250000007
54,6,12,12,613.321249999999,122664.25,87.62518906103112,53589.37499999986
55,6,12,14,222.65874999999875,44531.75,81.54390602681909,71718.375
56,6,12,16,-103.25375000000072,-20650.75,97.0482270183635,70843.74999999994
57,6,12,18,96.30249999999894,19260.5,90.24318613408478,90647.25000000013
58,6,12,20,142.57999999999927,28516.0,84.4775111621273,62556.12499999991
59,6,12,22,102.38374999999924,20476.75,98.08350339481225,95524.75
60,6,12,24,-86.11375000000083,-17222.75,93.62447905410681,91516.87499999984
61,6,12,26,259.55374999999907,51910.75,54.533109547999956,60839.99999999997
62,6,12,28,258.3393749999993,51667.87,83.39796663283663,58548.500000000044
63,6,12,30,107.07124999999937,21414.25,92.67180601465526,40090.75000000001
64,6,12,32,-104.55500000000019,-20911.0,94.47316270145025,22525.00000000003
65,6,12,34,-105.90250000000047,-21180.5,91.93210465353974,40478.62500000005
66,6,12,36,-102.87500000000054,-20575.0,91.8564043160222,53525.87500000013
67,6,12,38,93.00124999999957,18600.25,99.51110786097146,40823.312500000044
68,6,14,6,1678.6924999999983,335738.5,99.41970508286745,161020.90000000055
69,6,14,8,1717.3024999999989,343460.5,97.42070008442593,65629.2812499999
70,6,14,10,2273.0362499999987,454607.25,83.66108118231605,56955.00000000021
71,6,14,12,975.3549999999987,195071.0,63.69151924482449,18082.500000000004
72,6,14,14,166.3924999999989,33278.5,75.29756702729318,112436.96250000014
73,6,14,16,-85.90375000000083,-17180.75,97.45236267187838,69809.99999999993
74,6,14,18,290.04249999999905,58008.5,54.21173469387749,50471.1249999998
75,6,14,20,298.58749999999924,59717.5,97.41943994271286,64620.74999999996
76,6,14,22,242.93999999999917,48588.0,80.6299278582503,81784.74999999994
77,6,14,24,-3.0212500000009457,-604.25,91.89907165450802,78117.31250000013
78,6,14,26,390.6337499999991,78126.75,65.4544639490332,62055.249999999985
79,6,14,28,449.1843749999993,89836.87,79.64362651110804,53792.50000000013
80,6,14,30,299.6437499999994,59928.75,84.13169640137596,51789.99999999997
81,6,14,32,-92.05875000000037,-18411.75,91.18407932445916,32692.00000000008
82,6,14,34,38.281249999998984,7656.25,93.17916873023755,30573.250000000047
83,6,14,36,278.83624999999904,55767.25,96.64155559013207,55900.37499999985
84,6,14,38,-89.70125000000031,-17940.25,98.01240899699759,38722.37500000008
85,6,16,6,213.15666666666485,42631.33,89.70414009525228,45004.06249999996
86,6,16,8,-88.4400000000003,-17688.0,93.51157189524415,33778.24999999995
87,6,16,10,2249.5287499999995,449905.75,96.99185262744584,37053.31250000002
88,6,16,12,1093.687499999999,218737.5,64.95953787765389,18442.500000000015
89,6,16,14,342.51499999999913,68503.0,79.84042180716298,62709.06250000015
90,6,16,16,-92.44500000000038,-18489.0,95.50689553990624,39058.499999999876
91,6,16,18,224.91124999999897,44982.25,69.45511146317064,90749.87499999977
92,6,16,20,192.54249999999905,38508.5,99.92313023020174,64345.125000000306
93,6,16,22,275.9312499999989,55186.25,75.96404729206209,58701.312500000095
94,6,16,24,128.4112499999993,25682.25,91.73382083470739,107445.87500000038
95,6,16,26,525.1449999999991,105029.0,57.38222208831709,71421.49999999968
96,6,16,28,445.2999999999992,89060.0,77.21951830232089,49342.49999999999
97,6,16,30,245.50874999999945,49101.75,99.92271254051363,30059.25000000002
98,6,16,32,-93.69625000000038,-18739.25,99.65656669430776,33950.75000000004
99,6,16,34,-97.90875000000031,-19581.75,80.60563162202234,27330.749999999996
100,6,16,36,143.5912499999991,28718.25,97.31151007575089,52460.999999999956
101,6,16,38,-105.98125000000044,-21196.25,96.63302636558608,47875.62499999994
102,6,18,6,826.8162499999979,165363.25,60.58946917599892,31123.7500000001
103,6,18,8,2384.654999999999,476931.0,90.32855862561348,44599.50000000006
104,6,18,10,2292.224999999999,458445.0,94.15664629946734,37253.31250000001
105,6,18,12,528.8699999999989,105774.0,82.79563247534271,58615.375
106,6,18,14,622.7112499999992,124542.25,76.64752715100931,51493.43749999996
107,6,18,16,-91.79375000000033,-18358.75,81.6085104009134,29989.475000000064
108,6,18,18,437.87749999999886,87575.5,63.102246333369436,48155.37500000007
109,6,18,20,609.6199999999988,121924.0,60.14028282175228,89299.74999999984
110,6,18,22,536.2749999999988,107255.0,61.897297520927154,33663.0
111,6,18,24,439.3887499999993,87877.75,77.70784124444013,116420.62499999978
