,period_he,return,pnl,drawdown (%),drawdown (abs)
0,6,112.6100000000001,22522.0,38.579682489199904,14556.500000000011
1,7,94.71875000000004,18943.75,44.711316052588394,14980.749999999985
2,8,128.42375000000007,25684.75,50.06870569392753,13754.999999999989
3,9,55.36000000000003,11072.0,57.83242945608963,38336.249999999985
4,10,63.49250000000004,12698.5,61.406358391283035,18146.500000000004
5,11,111.19750000000008,22239.5,51.840112501426425,35204.74999999995
6,12,177.64125000000004,35528.25,44.71262936521114,16158.25
7,13,-14.296249999999938,-2859.25,98.09889193003791,31450.74999999997
8,14,63.98124999999987,12796.25,90.08301372943397,72108.75000000015
9,15,47.462499999999835,9492.5,86.89497428113673,41219.49999999995
10,16,84.71374999999988,16942.75,76.79536836955202,23544.50000000006
11,17,120.04499999999985,24009.0,72.00353123491607,28342.750000000015
12,18,170.09999999999997,34020.0,68.02779689957657,44223.0
13,19,199.01999999999998,39804.0,61.88577346328433,15985.249999999996
14,20,242.92624999999995,48585.25,47.74622829490469,33546.50000000004
15,21,185.51249999999985,37102.5,54.777234097347446,34032.000000000015
16,22,126.48874999999981,25297.75,76.11152141802073,20611.00000000002
17,23,19.352499999999825,3870.5,60.50344642124191,21373.750000000007
18,24,4.943749999999859,988.75,83.69160400470146,29550.25
19,25,95.4674999999999,19093.5,62.46011647668118,23246.250000000044
20,26,69.03874999999992,13807.75,55.293793704054764,21587.25000000004
21,27,134.94875000000002,26989.75,56.677014527550526,26792.500000000044
22,28,217.04624999999987,43409.25,48.77683274609947,24330.250000000025
23,29,211.96499999999995,42393.0,39.10291643060685,23121.75000000003
24,30,199.9487499999999,39989.75,40.858957834652934,22190.500000000007
25,31,208.65749999999997,41731.5,34.29918580629481,17640.499999999993
26,32,244.51749999999996,48903.5,32.28703899583954,18314.50000000003
27,33,186.9325,37386.5,44.057028210116705,18116.249999999967
28,34,282.3712499999999,56474.25,57.798639221427926,16777.499999999978
29,35,184.69999999999996,36940.0,53.8945986944145,15810.249999999967
30,36,237.6325,47526.5,45.916092334036904,13540.99999999999
31,37,275.1625,55032.5,56.70582782165327,15903.999999999985
32,38,260.45875000000007,52091.75,70.48268470266476,19070.499999999993
33,39,151.80125000000004,30360.25,93.03306106573316,29898.500000000036
34,40,149.77125000000004,29954.25,83.92582803336914,25402.250000000004
35,41,207.90875000000014,41581.75,54.32387138230155,15640.249999999962
36,42,183.64999999999995,36730.0,50.91614169242873,16346.499999999998
37,43,217.9725,43594.5,37.00578055275979,20773.75
38,44,84.30374999999988,16860.75,60.379666133208445,23202.999999999978
39,45,170.94874999999993,34189.75,79.98972338785647,35026.50000000003
40,46,60.57874999999986,12115.75,55.47807761029916,15136.500000000002
41,47,29.42,5884.0,58.64244680509641,22840.49999999996
42,48,30.20999999999987,6042.0,56.99428537234843,23811.500000000033
43,49,-2.556250000000102,-511.25,66.55758629117672,24508.500000000025
