,period_sma5,period_sma25,period_he,return,pnl,drawdown (%),drawdown (abs)
0,5,8,6,3402.2658333333334,680453.17,38.8770559361033,15400.737499999985
1,5,8,8,642.3712500000001,128474.25,87.7443935557099,41822.4
2,5,8,10,1950.1574999999996,390031.5,35.01213052701114,34455.000000000175
3,5,8,12,293.67999999999995,58736.0,49.56273956588696,22046.24999999998
4,5,8,14,269.54624999999993,53909.25,76.26114971468331,46040.00000000003
5,5,8,16,222.37625,44475.25,77.5291510508003,37556.40000000006
6,5,8,18,312.6062499999997,62521.25,39.00269714872865,24294.000000000073
7,5,8,20,270.9133333333332,54182.67,57.318657630922274,19411.24999999997
8,5,10,6,3081.8617708333322,616372.35,29.74083952436991,11823.987499999985
9,5,10,8,665.5499999999998,133110.0,88.02881939173123,41748.90000000004
10,5,10,10,1949.2537499999999,389850.75,31.568189249427807,26308.85000000005
11,5,10,12,310.21249999999975,62042.5,48.23405471037778,20259.749999999953
12,5,10,14,314.2449999999998,62849.0,63.81595222108356,22572.499999999993
13,5,10,16,236.25124999999997,47250.25,73.34281777855024,37556.39999999998
14,5,10,18,312.6062499999997,62521.25,39.00269714872865,24294.000000000073
15,5,10,20,260.71833333333313,52143.67,63.33953433435205,21450.249999999985
16,5,12,6,3085.4755208333336,617095.1,29.864007074638295,21258.349999999846
17,5,12,8,581.9162499999996,116383.25,91.92378721180509,41513.15000000006
18,5,12,10,1958.2024999999999,391640.5,30.048896978522098,25795.100000000093
19,5,12,12,332.33437499999974,66466.87,50.24736203148766,26178.749999999978
20,5,12,14,299.2174999999998,59843.5,68.12728628760165,23978.249999999985
21,5,12,16,251.2750000000001,50255.0,74.56304665699798,37556.39999999998
22,5,12,18,323.80624999999975,64761.25,37.648772625836834,24294.000000000007
23,5,12,20,260.71833333333313,52143.67,63.33953433435205,21450.249999999985
24,5,14,6,2997.4411458333334,599488.23,39.66207654601669,23733.974999999977
25,5,14,8,573.0874999999997,114617.5,84.88555703251926,39081.64999999994
